bamorder	seq_id	seq_key	ID	Site	habitat	Description	Site.class	Agric_eco.activity	Insecticide	Lat	long	Form	species	Ace.1	Duplitype	Ace.A	Ace.1B	Fam	Hex	FAM.HEX	X	VSGC	kdr_A	kdr_B	NY_Gene	bamid	phaseid
30	DW-Nsa9	Nsa9	Nsa9	Nsawan	deciduous_forest	Refuse damp	Small urban	Gardening	2	5.81674	0.3539	S	An. gambiae	GS		100	200	709.672	868.266	0.817343994		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Nsa9.srt.dp.rg.bam	ind30
31	110-DW-OBP1-16	OBP16	OBP16	Dunkwa-on-Offin	deciduous_forest	Mixed	Urban		NA	6.1986	-1.6569	S	An. gambiae	SS	D	NA	NA	8076.069	63.978	126.2319704		FF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/110-DW-OBP1-16.srt.dp.rg.bam	ind31
32	69-DW-Mad54	Mad54	Mad54	Madina	coastal_savannah	Roadside	Urban	Gardening	6	5.6697	0.1672	S	An. gambiae			NA	NA						NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/69-DW-Mad54.srt.dp.rg.bam	ind32
33	68-DW-Mad53	Mad53	Mad53	Madina	coastal_savannah	Roadside	Urban	Gardening	5	5.6697	0.1672	S	An. gambiae			NA	NA						NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/68-DW-Mad53.srt.dp.rg.bam	ind33
34	65-DW-Mad49	Mad49	Mad49	Madina	coastal_savannah	Roadside	Urban	Gardening	3	5.6697	0.1672	S	An. gambiae			NA	NA						NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/65-DW-Mad49.srt.dp.rg.bam	ind34
35	119-DW-AnB-4	AnB.4	AnB.4	Bantama-Kumasi	deciduous_forest	Roadside puddle			NA	6.4642	-1.6436	S	An. gambiae	SS	D	NA	NA	7748.042	48.258	160.5545609		FF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/119-DW-AnB-4.srt.dp.rg.bam	ind35
36	DW-Asi13	Asi13	Asi13	Asikumah	deciduous_forest	Mixed	Small urban	Gardening	2	5.58017	0.9961	S	An. gambiae	GG		100	100	32.217	1755.753	0.018349392		LF	111	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Asi13.srt.dp.rg.bam	ind36
37	61-DW-WE27	WE27	WE27	Wassa Essaman	rainforest	Roadside	Rural	Gardening	4	5.350084	1.678	M	An. gambiae			NA	NA						NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/61-DW-WE27.srt.dp.rg.bam	ind37
38	159-DW-DoM-4	DoM.4	DoM.4	Anhiankwanta	deciduous_forest	Gutter			NA	5.9569	-1.7777	M	An. gambiae	GG	N	NA	NA	237.286	3020.578	0.078556488		FF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/159-DW-DoM-4.srt.dp.rg.bam	ind38
39	DW-Man4	Man4	Man4	Mankessim	coastal_savannah	Gutter	Small urban	Gardening	2	5.28066	1.01755	M	An. gambiae	GG		100	100	22.366	1889.548	0.011836693		LF	111	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Man4.srt.dp.rg.bam	ind39
40	127-DW-AnB-12	AnB.12	AnB.12	Bantama-Kumasi	deciduous_forest	Roadside puddle			NA	6.4642	-1.6436	S	An. gambiae	GS	D	NA	NA	6891.613	809.429	8.514166159		FF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/127-DW-AnB-12.srt.dp.rg.bam	ind40
41	81-DW-Mad66	Mad66	Mad66	Madina	coastal_savannah	Roadside	Urban	Gardening	18	5.6697	0.1672	S	An. gambiae			NA	NA						NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/81-DW-Mad66.srt.dp.rg.bam	ind41
42	DW-AgD4	AgD4	AgD4	Agona Dunkwa	deciduous_forest	Gutter	Rural	Gardening	2	5.6338	0.72805	S	An. gambiae	GS		100	200	604.509	390.448	1.548244581		LF	111	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-AgD4.srt.dp.rg.bam	ind42
43	DW-Axi13	Axi13	Axi13	Axim	rainforest	Gutter	Urban	Rubber plantation	2	4.86384	2.23924	M	An. gambiae	GG		100	100	31.357	1915.166	0.016372993		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Axi13.srt.dp.rg.bam	ind43
44	DW-Nsa2	Nsa2	Nsa2	Nsawan	deciduous_forest	Refuse damp	Small urban	Gardening	2	5.81674	0.3539	S	An. gambiae	GG		100	100	27.773	2150.575	0.012914221		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Nsa2.srt.dp.rg.bam	ind44
45	29-DW-Tub5	Tub5	Tub5	Tuba	coastal_savannah	Farm road	Urban	Vegefarm	3	5.5131	0.3867	M	An. gambiae	GS		100	200	497.523	1583.849	0.314122748		LF	111	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/29-DW-Tub5.srt.dp.rg.bam	ind45
46	55-DW-WE8	WE8	WE8	Wassa Essaman	rainforest	Roadside	Rural	Gardening	2	5.350084	1.678	S	An. gambiae	GS		100	200	707.83	867.534	0.815910385		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/55-DW-WE8.srt.dp.rg.bam	ind46
47	5-DW-Suh12	Suh12	Suh12	Suhum	deciduous_forest	Gutter	Small urban	Gardening	2	6.03496	0.457608	S	An. gambiae	GS		100	200	689.241	511.258	1.34812756		FF	222	222	NY	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/5-DW-Suh12.srt.dp.rg.bam	ind47
48	45-DW-TP9	TP9	TP9	Twifo Praso	rainforest	Gutter	Small urban	Gardening	2	5.6076	1.5458	M	An. gambiae	GG		100	100	27.059	1720.209	0.015730065		LF	111	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/45-DW-TP9.srt.dp.rg.bam	ind48
49	53-DW-WE6	WE6	WE6	Wassa Essaman	rainforest	Roadside	Rural	Gardening	2	5.350084	1.678	M	An. gambiae	GG		100	100	20.829	1610.915	0.012929919		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/53-DW-WE6.srt.dp.rg.bam	ind49
50	12-DW-Tar7	Tar7	Tar7	Tarkwa	rainforest	Gutter	Urban	Commercial mining	1	5.31382	1.99232	M	An. gambiae	GG		100	100	31.343	1466.653	0.021370426		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/12-DW-Tar7.srt.dp.rg.bam	ind50
51	48-DW-TP15	TP15	TP15	Twifo Praso	rainforest	Gutter	Small urban	Gardening	2	5.6076	1.5458	M	An. gambiae	GG		100	100	19.051	1701.77	0.011194815		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/48-DW-TP15.srt.dp.rg.bam	ind51
52	DW-Asa12	Asa12	Asa12	Asankrangwa	rainforest	Roadside	Small urban	Gardening	2	5.80269	2.43342	M	An. gambiae	GG		100	100	30.936	1864.238	0.016594448		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Asa12.srt.dp.rg.bam	ind52
53	42-DW-TP5	TP5	TP5	Twifo Praso	rainforest	Gutter	Small urban	Gardening	2	5.6076	1.5458	M	An. gambiae	GG		100	100	23.149	1596.467	0.014500143		LF	111	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/42-DW-TP5.srt.dp.rg.bam	ind53
54	DW-Bog9	Bog9	Bog9	Bogoso	rainforest	Roadside	Urban	Commercial mining	1	5.56853	2.0026	M	An. gambiae	GG		100	100	159.04	2061.75	0.077138353		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Bog9.srt.dp.rg.bam	ind54
55	38-DW-Tub15	Tub15	Tub15	Tuba	coastal_savannah	Farm road	Urban	Vegefarm	3	5.5131	0.3867	M	An. gambiae	GG		100	100	10.626	276.02	0.03849721		LF	111	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/38-DW-Tub15.srt.dp.rg.bam	ind55
56	37-DW-Tub14	Tub14	Tub14	Tuba	coastal_savannah	Farm road	Urban	Vegefarm	3	5.5131	0.3867	M	An. gambiae	GS		100	200	580.421	1547.231	0.375135322		LF	111	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/37-DW-Tub14.srt.dp.rg.bam	ind56
57	116-DW-AnB-1	AnB.1	AnB.1	Bantama-Kumasi	deciduous_forest	Roadside puddle			NA	6.4642	-1.6436	S	An. gambiae	GG	N	NA	NA	202.749	3152.627	0.064311128		FF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/116-DW-AnB-1.srt.dp.rg.bam	ind57
58	35-DW-Tub11	Tub11	Tub11	Tuba	coastal_savannah	Farm road	Urban	Vegefarm	3	5.5131	0.3867	S	An. gambiae	GG		100	100	36.144	1848.299	0.019555278		LF	111	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/35-DW-Tub11.srt.dp.rg.bam	ind58
59	DW-AgD5	AgD5	AgD5	Agona Dunkwa	deciduous_forest	Gutter	Rural	Gardening	2	5.6338	0.72805	S	An. gambiae	SS		200	200	772.571	56.235	13.73825909		LF	111	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-AgD5.srt.dp.rg.bam	ind59
60	93-DW-Kom4	Kom4	Kom4	Komenda	mangrove_swamp	Gutter	Small urban	Fishing	1	5.0557	1.4944	M	An. gambiae	GG		100	100	15.099	1527.002	0.009888003		LF	111	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/93-DW-Kom4.srt.dp.rg.bam	ind60
61	DW-Mam16	Mam16	Mam16	Mamprobi	coastal_savannah	Farm road	Urban	Vegefarm	3	5.541	0.2377	M	An. gambiae	GS		100	200	589.64	1724.867	0.341846647		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Mam16.srt.dp.rg.bam	ind61
62	DW-AdF7	AdF7	AdF7	Ada Foah	mangrove_swamp	Mixed	Small urban	Vegefarm	3	5.8035	0.6641	M	An. gambiae	GS		100	200	415.999	1281.5	0.324618806		LF	111	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-AdF7.srt.dp.rg.bam	ind62
63	26-DW-Tub2	Tub2	Tub2	Tuba	coastal_savannah	Farm road	Urban	Vegefarm	3	5.5131	0.3867	M	An. gambiae	GS		100	200	619.391	1161.048	0.533475791		LF	111	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/26-DW-Tub2.srt.dp.rg.bam	ind63
64	25-DW-Tub1	Tub1	Tub1	Tuba	coastal_savannah	Farm road	Urban	Vegefarm	3	5.5131	0.3867	M	An. gambiae	GS		100	200	986.3	1021.194	0.965830195		LF	111	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/25-DW-Tub1.srt.dp.rg.bam	ind64
65	DW-AF19	AF19	AF19	Assin Foso	deciduous_forest	Gutter	Small urban	Gardening	2	5.6936	1.2733	M	An. gambiae	GG		100	100	2620.657	2620.657	1		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-AF19.srt.dp.rg.bam	ind65
66	DW-Nsa5	Nsa5	Nsa5	Nsawan	deciduous_forest	Refuse damp	Small urban	Gardening	2	5.81674	0.3539	S	An. gambiae	GS		100	200	692.056	965.636	0.716684134		FF	222	222	NY	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Nsa5.srt.dp.rg.bam	ind66
67	186-DW-NeA-15	NeA.15	NeA.15	New-Edubiase	deciduous_forest	Gutter			NA	6.0597	-1.3937	S	An. gambiae	SS	D	NA	NA	9524.42	85.285	111.6775517		FF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/186-DW-NeA-15.srt.dp.rg.bam	ind67
68	20-DW-Tak4	Tak4	Tak4	Takoradi	coastal_savannah	Roadside	Urban	Gardening	2	4.91081	1.75443	M	An. gambiae	GG		100	100	24.546	1904.007	0.012891759		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/20-DW-Tak4.srt.dp.rg.bam	ind68
69	185-DW-NeA-14	NeA.14	NeA.14	New-Edubiase	deciduous_forest	Gutter			NA	6.0597	-1.3937	S	An. gambiae	SS	N	NA	NA	9012.166	62.29	144.6807834		FF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/185-DW-NeA-14.srt.dp.rg.bam	ind69
70	DW-Nkw6	Nkw6	Nkw6	Nkwanta	rainforest	Roadside	Rural	Cocoa plantation	2	5.4156	2.37107	S	An. gambiae	GG		100	100	26.329	2059.526	0.01278401		FF	222	222	NY	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Nkw6.srt.dp.rg.bam	ind70
71	142-DW-NeA-51	NeA.51	NeA.51	New-Edubiase	deciduous_forest	Roadside puddle			NA	6.2464	-1.5041	S	An. gambiae	SS	D	NA	NA	10726.847	381.814	28.0944308		FF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/142-DW-NeA-51.srt.dp.rg.bam	ind71
72	DW-Nkw5	Nkw5	Nkw5	Nkwanta	rainforest	Roadside	Rural	Cocoa plantation	2	5.4156	2.37107	S	An. gambiae	GG		100	100	30.415	2389.046	0.012731023		FF	222	222	NY	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Nkw5.srt.dp.rg.bam	ind72
73	DW-Enc21	Enc21	Enc21	Enchi	rainforest	Farm road	Small urban	Cocoa plantation	4	5.8232	2.822917	M				NA	NA						NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Enc21.srt.dp.rg.bam	ind73
74	DW-AdF1	AdF1	AdF1	Ada Foah	mangrove_swamp	Mixed	Small urban	Vegefarm	3	5.8035	0.6641	M	An. gambiae	GS		100	200	664.846	724.56	0.917585845		LL	111	111	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-AdF1.srt.dp.rg.bam	ind74
75	DW-Dzo12	Dzo12	Dzo12	Dzorwulu	coastal_savannah	Farm road	Urban	Vegefarm	3	5.60499	0.20592	S	An. gambiae	GS		100	200	789.49	1077.027	0.73302712		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Dzo12.srt.dp.rg.bam	ind75
76	23-DW-Tak7	Tak7	Tak7	Takoradi	coastal_savannah	Roadside	Urban	Gardening	2	4.91081	1.75443	M	An. gambiae	GG		100	100	16.985	1581.318	0.01074104		LF	111	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/23-DW-Tak7.srt.dp.rg.bam	ind76
77	DW-Nsa17	Nsa17	Nsa17	Nsawan	deciduous_forest	Refuse damp	Small urban	Gardening	3	5.81674	0.3539	M	An. gambiae			NA	NA						NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Nsa17.srt.dp.rg.bam	ind77
78	DW-Bog25	Bog25	Bog25	Bogoso	rainforest	Roadside	Urban	Commercial mining	1	5.56853	2.0026	S	An. gambiae			NA	NA						NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Bog25.srt.dp.rg.bam	ind78
79	44-DW-TP7	TP7	TP7	Twifo Praso	rainforest	Gutter	Small urban	Gardening	2	5.6076	1.5458	M	An. gambiae	GG		100	100	25.77	1604.317	0.01606291		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/44-DW-TP7.srt.dp.rg.bam	ind79
80	180-DW-NeA-4	NeA.4	NeA.4	New-Edubiase	deciduous_forest	Gutter			NA	6.0597	-1.3937	S	An. gambiae	GG	N	NA	NA	187.123	2912.492	0.064248417		FF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/180-DW-NeA-4.srt.dp.rg.bam	ind80
81	DW-HA7	HA7	HA7	Half-Assini	coastal_savannah	Gutter	Urban	Coconut plantation	2	5.05133	2.88328	S	An. gambiae	GG		100	100	33.144	2613.265	0.012682985		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-HA7.srt.dp.rg.bam	ind81
82	181-DW-NeA-5	NeA.5	NeA.5	New-Edubiase	deciduous_forest	Gutter			NA	6.0597	-1.3937	S	An. gambiae	GG	N	NA	NA	255.294	3039.418	0.08399437		FF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/181-DW-NeA-5.srt.dp.rg.bam	ind82
83	174-DW-NeA-12	NeA.12	NeA.12	New-Edubiase	deciduous_forest	Gutter			NA	6.0597	-1.3937	M	An. gambiae	GG	N	NA	NA	221.893	3070.58	0.072264198		LF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/174-DW-NeA-12.srt.dp.rg.bam	ind83
84	17-DW-Tak1	Tak1	Tak1	Takoradi	coastal_savannah	Roadside	Urban	Gardening	2	4.91081	1.75443	M	An. gambiae	GS		100	200	645.963	1008.548	0.640488108		LF	111	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/17-DW-Tak1.srt.dp.rg.bam	ind84
85	DW-Dod2	Dod2	Dod2	Dodowa	deciduous_forest	Farm road	Small urban	Vegefarm	3	5.89816	0.1012	S	An. gambiae	GS		100	200	781.185	864.553	0.903570978		FF	222	222	NY	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Dod2.srt.dp.rg.bam	ind85
86	DW-Enc20	Enc20	Enc20	Enchi	rainforest	Farm road	Small urban	Cocoa plantation	3	5.8232	2.822917	M				NA	NA						NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Enc20.srt.dp.rg.bam	ind86
87	DW-Enc10	Enc10	Enc10	Enchi	rainforest	Farm road	Small urban	Cocoa plantation	2	5.8232	2.822917	S	An. gambiae	GG		100	100	39.358	2295.492	0.01714578		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Enc10.srt.dp.rg.bam	ind87
88	19-DW-Tak3	Tak3	Tak3	Takoradi	coastal_savannah	Roadside	Urban	Gardening	2	4.91081	1.75443	M	An. gambiae	GS		100	200	635.744	1361.946	0.466790901		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/19-DW-Tak3.srt.dp.rg.bam	ind88
